SampleID,LPM,n_draws,n_fail,n_nonfinite,chi2,f1_star,f1_mean,f1_std,f1_p16,f1_p84,tau2_star,tau2_mean,tau2_std,tau2_p16,tau2_p84,corr_p1_p2
EDTRPAS1-41,BMM-DM-DM,500,0,0,0.16407747566699982,0.8537245988845825,0.8156026958236471,0.08470719939072563,0.7654888606071473,0.8749681282043457,256.6802673339844,265.33103968811037,25.41487436001938,245.58848876953124,284.4682897949219,0.3008599578220736
EDTRPAS1-46,BMM-DM-DM,500,0,0,4.967995482729748e-05,0.22402356564998627,0.21927511656284332,0.023089624920658542,0.19834799885749818,0.23962218701839444,25553.658203125,32564.030255859376,25486.026163870556,20084.296875,35673.467031249995,0.29945309568831646
EDTRPAS1-44,BMM-DM-DM,500,0,8,0.004149428568780422,0.6143916845321655,0.634077698961506,0.11176696373826521,0.5451352381706238,0.6965033650398255,107.4898452758789,101.41301305507257,19.579602922475782,83.8793212890625,113.8868179321289,0.37131720979697497
EDTRPAS1-34,BMM-DM-DM,500,0,0,3.454666875768453e-05,0.6597786545753479,0.6322648746967315,0.07772425248179911,0.5541693949699402,0.7049262714385987,762.811279296875,1539.9614221191407,1368.0781445554724,472.003388671875,3812.367216796875,0.09558558820782304
EDTRPAS1-05/EDTRETN1-03,BMM-DM-DM,500,0,3,0.0021330297458916903,0.6315832138061523,0.5886439948344614,0.13360576705740704,0.47237086057662964,0.6983049702644347,5764.39208984375,7398.71857991209,7389.397686239607,1383.639248046875,13443.776445312496,0.42425111323242626
EDTRPAS1-30,BMM-DM-DM,500,0,0,0.31710904836654663,0.7529594302177429,0.7310684871673584,0.04509746172280614,0.6925249981880188,0.7665339303016663,10257.7890625,16191.24404711914,16899.82726634279,2493.76333984375,48144.36421874999,0.07199337029841743
EDTRPAS1-43,BMM-DM-DM,500,0,6,0.09998424351215363,0.7704493999481201,0.7047101276802269,0.15215667621006265,0.6622187161445617,0.7956661868095398,4403.828125,6293.216442648699,7093.422234032561,483.82159912109375,14983.1399609375,0.2625782329073728
EDTRPAS1-04/EDTRETN1-01,BMM-DM-DM,500,0,0,1.0038412809371948,0.5967835783958435,0.5870208784341812,0.05232648387915428,0.5415797448158264,0.6326076674461364,725.8952026367188,1440.023226501465,1264.312146144239,469.800615234375,3623.83197265625,0.08928497995309764
EDTRPAS1-35,BMM-DM-DM,500,0,0,0.17054064571857452,0.8892186284065247,0.8504515839219093,0.07791077982348868,0.7884946155548096,0.9117495441436767,4678.44921875,8350.317778991699,8858.74505409183,472.935048828125,23365.04625,0.0904705225613892
EDTRPAS1-29,BMM-DM-DM,500,0,129,0.9356797933578491,0.14139021933078766,0.12842164411161827,0.03427838578887832,0.10608808547258378,0.1522672086954117,14184.3427734375,13765.476290062752,2639.629321270117,10970.422265625,16112.8333984375,0.6190178091258484
