SampleID,mean_age,tau2_free_originally,sigma_delta_published,sigma_delta_pct,sigma_mc_orig,sigma_mc_orig_pct,sigma_mc_tau2free,sigma_mc_tau2free_pct,p16_tau2free,p84_tau2free,n_draws_tau2free,sigma_recommended,sigma_recommended_pct,ratio_vs_published
EDTRPAS1-46,18307.237104399996,False,123.68429156672474,0.6756032647711665,376.01263247195004,2.053901581804381,19374.399637028062,105.82918398086177,15920.367911864789,26893.189437665744,500,19374.399637028062,105.82918398086177,156.64397953539665
SCTXSUS1-04/EDTRVFPS1-20,10105.2634008,True,5076.349568414655,50.23470806325322,2150.1208049630973,21.27723662099574,,,,,0,5076.349568414655,50.23470806325322,1.0
EDTRPAS1-29,9935.986822,False,2839.999973160298,28.582968395972955,995.734584542772,10.02149663018919,2072.149341876236,20.854992855748737,9857.908044754186,13856.45466354975,371,2839.999973160298,28.582968395972955,1.0
EDTRPAS1-05/EDTRETN1-03,5057.15865625,False,826.5078134564337,16.343323783899404,960.4700640659329,18.992286565479116,2332.3411644277653,46.11959645650607,644.7505334303492,4375.047943898946,497,2332.3411644277653,46.11959645650607,2.8219227047279523
SCTXSUS1-13/EDTRVFPS1-08,3084.4862718399995,True,6837.335854164971,221.66854547503857,3557.8284538216717,115.34590010346544,,,,,0,6837.335854164971,221.66854547503857,1.0
EDTRPAS1-04/EDTRETN1-01,1947.0215,False,1444.3792138273616,74.18404028036473,254.34162672706978,13.063113413337746,518.6509304060386,26.63817171027842,203.41746298887287,1384.802366771741,500,1444.3792138273616,74.18404028036473,1.0
EDTRPAS1-34,1024.26644054,False,58.47095887024415,5.70856923120686,206.90401526096664,20.200214228622535,504.7874382741881,49.28282508290136,171.92838811269505,1246.8118996712806,500,504.7874382741881,49.28282508290136,8.63313084012163
EDTRVFPS1-12,838.47476908,True,4673.73430292023,557.4090569294522,830.0178182614043,98.99138875366818,,,,,0,4673.73430292023,557.4090569294522,1.0
EDTRPAS1-30,798.7634122800001,False,597.159020177311,74.76043732057944,132.41671332561043,16.577713912513662,4553.861332459157,570.1139113846689,715.9483425055964,10705.92598123318,500,4553.861332459157,570.1139113846689,7.625877159331872
EDTRVFPS1-11,458.26790368999997,True,1922.1020100011135,419.4275869036945,645.0845134160501,140.76580712325517,,,,,0,1922.1020100011135,419.4275869036945,1.0
EDTRPAS1-43,258.50383777,False,111.83455037047057,43.262239870486454,100.72345252404233,38.964006644133285,1737.8049067756124,672.2549737624394,157.37773215245178,3603.871092627686,494,1737.8049067756124,672.2549737624394,15.539070001344346
EDTRVFPS1-18,227.11419293000003,True,4080.583912648412,1796.7102187691585,379.0542720234408,166.9003011803278,,,,,0,4080.583912648412,1796.7102187691585,1.0
SCTXSUS1-14/EDTRVFPS1-07,166.70994566000002,True,764.2997427406797,458.46079531418377,59.60564333696037,35.75410159302931,,,,,0,764.2997427406797,458.46079531418377,1.0
SCTXSUS1-09/EDTRVFPS1-14,143.8940435,True,571.838952336252,397.4027961318996,60.34223767086802,41.935188005796796,,,,,0,571.838952336252,397.4027961318996,1.0
EDTRPAS1-35,137.71910638,False,176.17407800734924,127.92275715269511,58.78539834595019,42.684998393575974,1382.4409884104657,1003.8120524801983,95.55885024015102,2939.110292950986,500,1382.4409884104657,1003.8120524801983,7.847017018887399
EDTRPAS1-44,88.27992812,False,4.819522129012202,5.459363449481932,24.201674399384107,27.414696539497033,9.768601150860283,11.065483806898554,42.08988927885652,55.38617840337088,492,24.201674399384107,27.414696539497033,5.0215921312398715
SCTXSUS1-10/EDTRVFPS1-15,61.96981475,True,2.4021598577900685,3.8763386133731643,1.8227222370846294,2.941306577142268,,,,,0,2.4021598577900685,3.8763386133731643,1.0
EDTRPAS1-41,54.19751606999999,False,28.46641568544553,52.5234692465963,12.232490579741771,22.570205180515337,17.414917316445987,32.13231634813922,58.89450360574256,84.78981455952378,500,28.46641568544553,52.5234692465963,1.0
