SampleID,omitted_tracer,Aq_class,LPM,n_active_full,tau1_full,tau1_reduced,delta_tau1_rel,w_full_cond,w_reduced_cond,information_ratio_cond,censored_cond,w_full_true,w_reduced_true,information_ratio_true,censored_true
EDTRPAS1-50,3H,confined,DM,3,16.539461135864258,17.930025100708008,0.0840755302377078,2.141099351318555,13.9901226818328,6.5340838449263225,True,2.735476620891131,2.9,1.06014431922115,True
EDTRPAS1-50,SF6,confined,DM,3,16.539461135864258,23.97884559631348,0.4497960604240979,2.141099351318555,1.7937878649216163,0.8377882436034303,True,2.735476620891131,2.91533657393884,1.0657508646479004,True
EDTRPAS1-50,14C,confined,DM,3,16.539461135864258,16.494461059570312,0.0027207704002137,2.141099351318555,2.1782259124331165,1.0173399525303193,True,2.735476620891131,2.736633220757358,1.0004228147509628,True
EDTRPAS1-31,3H,confined,DM,3,31.19751739501953,31.53741455078125,0.0108950065307434,0.6320505189243697,1.5026370016857964,2.377400155042986,True,2.269514248915948,2.2778433738974857,1.003670003387516,True
EDTRPAS1-31,SF6,confined,DM,3,31.19751739501953,30.534421920776367,0.0212547513267521,0.6320505189243697,1.3109490286558876,2.074120642898727,False,2.269514248915948,2.909433061513119,1.281962897083741,True
EDTRPAS1-31,14C,confined,DM,3,31.19751739501953,31.20252990722656,0.000160670227171,0.6320505189243697,0.6343140507582582,1.00358125144449,False,2.269514248915948,2.2700528304791074,1.0002373113821237,True
EDTRPAS1-37,3H,confined,DM,3,22.66618156433105,21.790849685668945,0.0386184093768836,1.2053407858125862,3.735759418597441,3.099338761758536,True,2.580365561577491,2.6917184492805974,1.043153919491559,True
EDTRPAS1-37,SF6,confined,DM,3,22.66618156433105,26.809978485107425,0.1828184826374685,1.2053407858125862,1.248364915046841,1.0356945767874683,False,2.580365561577491,2.730821606540121,1.0583080348005611,True
EDTRPAS1-37,14C,confined,DM,3,22.66618156433105,22.66715240478516,4.2832113179104624e-05,1.2053407858125862,1.2089022523723545,1.0029547382795707,False,2.580365561577491,2.5812398036243396,1.000338805500998,True
EDTRPAS1-45,3H,unconfined,DM,3,20.911592483520508,48.688514709472656,1.328302578956715,2.172844789503144,2.850000000023283,1.311644537976862,True,2.739906951528974,2.9117595126619555,1.0627220428186737,True
EDTRPAS1-45,SF6,unconfined,DM,3,20.911592483520508,12.779458999633787,0.3888815971473855,2.172844789503144,3.1808088276768123,1.4638914123286992,True,2.739906951528974,2.9,1.0584301041251376,True
