SampleID,LPM,free_params,n_active,tau1,f1,tau2,chi2_stored,chi2_profile_ref,tau2_lo_cond,tau2_hi_cond,w_tau2_cond,tau2_lo_true,tau2_hi_true,w_tau2_true,true_hit_bound,n_eval,seconds,cls_tau2_true,cls_tau2_cond
SCTXSUS1-13/EDTRVFPS1-08,BMM-DM-DM,"Fraction, 2nd Mean Age",4,28.0,0.6377,8464.3408,0.2474,0.2474,846.43408,9282.10789,0.996613204657355,846.43408,9282.10789,0.996613204657355,True,20,1.49,unconstrained,weakly constrained
SCTXSUS1-14/EDTRVFPS1-07,BMM-DM-DM,"Fraction, 2nd Mean Age",4,8.0,0.4273,285.1258,0.1785,0.1785,84.97710037206929,855.3774000000001,2.7019662886625153,84.01835250403056,855.3774000000001,2.705328832031228,True,202,15.89,unconstrained,unconstrained
SCTXSUS1-10/EDTRVFPS1-15,BMM-DM-DM,"Fraction, 2nd Mean Age",4,14.0,0.2759,80.2475,0.0423,0.0423,75.49029159710423,240.7425,2.0592817022698,75.18378829970345,240.7425,2.063101176987402,True,111,9.12,unconstrained,unconstrained
SCTXSUS1-09/EDTRVFPS1-14,BMM-DM-DM,"Fraction, 2nd Mean Age",4,10.0,0.5135,285.219,0.0463,0.0463,82.78228378139356,855.6569999999999,2.7097588737728078,80.2145271291502,855.6569999999999,2.7187616283306855,True,209,15.77,unconstrained,unconstrained
SCTXSUS1-04/EDTRVFPS1-20,BMM-DM-DM,"Fraction, 2nd Mean Age",3,32.0,0.2262,13049.916,0.0622,0.0622,1304.9916,39149.748,2.9,1304.9916,39149.748,2.9,True,103,5.95,unconstrained,unconstrained
EDTRVFPS1-11,BMM-DM-DM,"Fraction, 2nd Mean Age",3,14.0,0.4163,775.1237,0.09,0.09,135.37219045,2325.3711,2.825354081613038,135.37219045,2325.3711,2.825354081613038,True,345,20.72,unconstrained,unconstrained
EDTRVFPS1-12,BMM-DM-DM,"Fraction, 2nd Mean Age",4,10.0,0.3511,1286.7372,0.6198,0.6198,73.60207750382864,3860.2116,2.942799448478035,73.60207750382864,3860.2116,2.942799448478035,True,120,8.97,unconstrained,unconstrained
EDTRVFPS1-18,BMM-DM-DM,"Fraction, 2nd Mean Age",4,12.0,0.4443,399.1049,0.5518,0.5518,72.37624739840342,1197.3147,2.8186535735381764,71.6369590688862,1197.3147,2.820505939493887,True,254,19.19,unconstrained,unconstrained
