SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,marginalised,10.000000000000002,2.256610330367905e-10,1681.594482421875
EDTRPAS1-41,marginalised,10.29386850802772,2.381228772729715e-10,1680.808349609375
EDTRPAS1-41,marginalised,10.596372886056479,2.5040272602679183e-10,1680.10595703125
EDTRPAS1-41,marginalised,10.907766915109555,2.626881644898852e-10,1679.462890625
EDTRPAS1-41,marginalised,11.228311834035289,2.753636767982124e-10,1678.8565673828125
EDTRPAS1-41,marginalised,11.55827655866908,2.8899254093219537e-10,1678.2596435546875
EDTRPAS1-41,marginalised,11.89793790743586,3.042855885909827e-10,1677.64892578125
EDTRPAS1-41,marginalised,12.24758083358232,3.220811153729405e-10,1677.0076904296875
EDTRPAS1-41,marginalised,12.60749866423369,3.433318268442555e-10,1676.3231201171875
EDTRPAS1-41,marginalised,12.977993346475667,3.691071863986803e-10,1675.593505859375
EDTRPAS1-41,marginalised,13.359375700667911,4.005941025655679e-10,1674.82275390625
EDTRPAS1-41,marginalised,13.751965681201613,4.39078108132561e-10,1674.023193359375
EDTRPAS1-41,marginalised,14.15609264491992,4.858731401047849e-10,1673.2154541015625
EDTRPAS1-41,marginalised,14.572095627426394,5.421568540359016e-10,1672.4197998046875
EDTRPAS1-41,marginalised,15.000323627513296,6.086612882571199e-10,1671.6636962890625
EDTRPAS1-41,marginalised,15.44113589994832,6.852007858848804e-10,1670.9700927734375
EDTRPAS1-41,marginalised,15.894902256865421,7.701041436313701e-10,1670.35595703125
EDTRPAS1-41,marginalised,16.362003378012563,8.598429485790232e-10,1669.8365478515625
EDTRPAS1-41,marginalised,16.842831130116664,9.493068409526884e-10,1669.414306640625
EDTRPAS1-41,marginalised,17.337788895633683,1.0331209667740006e-09,1669.082763671875
EDTRPAS1-41,marginalised,17.84729191115962,1.1078173262437626e-09,1668.8297119140625
EDTRPAS1-41,marginalised,18.371767615786382,1.173758378678347e-09,1668.6328125
EDTRPAS1-41,marginalised,18.91165600969469,1.2359262299785763e-09,1668.4661865234375
EDTRPAS1-41,marginalised,19.467410023284927,1.3034778650425463e-09,1668.3016357421875
EDTRPAS1-41,marginalised,20.039495897155582,1.3891922115956692e-09,1668.116455078125
EDTRPAS1-41,marginalised,20.628393573248047,1.5101284866142018e-09,1667.8880615234375
EDTRPAS1-41,marginalised,21.234597097485942,1.6905884719676084e-09,1667.6038818359375
EDTRPAS1-41,marginalised,21.85861503424673,1.9688212224194225e-09,1667.260986328125
EDTRPAS1-41,marginalised,22.50097089301336,2.4093773908507225e-09,1666.8634033203125
EDTRPAS1-41,marginalised,23.16220356756385,3.1223970758246285e-09,1666.4273681640625
EDTRPAS1-41,marginalised,23.842867788067274,4.281714722407786e-09,1665.9775390625
EDTRPAS1-41,marginalised,24.54353458646542,6.101709515721575e-09,1665.5447998046875
EDTRPAS1-41,marginalised,25.264791775530544,8.680426819042683e-09,1632.35498046875
EDTRPAS1-41,marginalised,26.007244442001152,1.1651670312846915e-08,1536.8282470703125
EDTRPAS1-41,marginalised,26.771515454209453,1.3906943384904303e-08,1483.3743896484375
EDTRPAS1-41,marginalised,27.5582459846264,1.4043842097185509e-08,1480.294921875
EDTRPAS1-41,marginalised,28.368096047762698,1.1636353932757849e-08,1536.57763671875
EDTRPAS1-41,marginalised,29.201745053876998,7.906996890905306e-09,1663.42578125
EDTRPAS1-41,marginalised,30.059892378955855,4.618425383045822e-09,1665.8896484375
EDTRPAS1-41,marginalised,30.943257951443606,2.5657699382609566e-09,1666.7626953125
EDTRPAS1-41,marginalised,31.852582856214354,1.5053245795715104e-09,1667.9097900390625
EDTRPAS1-41,marginalised,32.78862995629285,9.640698930237224e-10,1669.3709716796875
EDTRPAS1-41,marginalised,33.75218453284572,6.59053604576392e-10,1671.2059326171875
EDTRPAS1-41,marginalised,34.74405494398007,4.684140839786999e-10,1673.51123046875
EDTRPAS1-41,marginalised,35.76507330290212,3.401086842931783e-10,1676.4307861328125
EDTRPAS1-41,marginalised,36.81609617600469,2.4944466022920616e-10,1680.16552734375
