SampleID,LPM,free_params,n_active,tau1_reported,tau1_sigma,tau1_shift_pct,chi2_sigma,w_reported,w_sigma,hit_bound,w_sigma_scaled,hit_bound_scaled,dof,dchi2_scaled,cls_reported,cls_sigma,cls_sigma_scaled,n_eval,seconds
SCTXLUSRC1-24,DM,"Mean Age, Model Parm 1",4,26.6973,26.697402954101562,0.00038563488279347877,2.5248574396646175,4.521327218040815,0.09492647345177815,False,0.10664923549629819,False,2,1.2624287198323088,unconstrained,well constrained,well constrained,134,21.1
SCTXLUSRC1-25,DM,"Mean Age, Model Parm 1",4,3.0089,3.0077922344207764,-0.036816297624506056,255.56006216611038,1.5994619585108016,0.17530659474432483,False,1.7388450564663491,True,2,127.78003108305519,unconstrained,well constrained,unconstrained,135,21.1
SCTXLUSRC1-27,DM,"Mean Age, Model Parm 1",4,19.303,19.3027286529541,-0.0014057247365656205,0.022017114145369686,1.132943337084726,0.11615089401602678,False,0.0113732066005468,False,2,0.011008557072684843,weakly constrained,well constrained,well constrained,134,21.1
SCTXLUSRC1-23,DM,"Mean Age, Model Parm 1",4,16.2306,16.230125427246094,-0.002923938449011608,1.0398754726677661,1.2732131623197354,0.13728828942403198,False,0.10029218168929219,False,2,0.5199377363338831,weakly constrained,well constrained,well constrained,135,21.7
SCTXSUS1-19/EDTRVFPS1-02,DM,"Mean Age, Model Parm 1",4,18.942,18.942134857177734,0.000711947934400826,0.25118845736228684,1.2673620386980466,0.15212009018287048,False,0.05392365064471979,False,2,0.12559422868114342,weakly constrained,well constrained,well constrained,134,21.0
SCTXSUS1-17,DM,Mean Age,2,22.8417,23.370594024658203,2.3154757511840347,0.06926406652888988,2.949250758928247,0.8593844594899565,False,0.4034098968375475,False,1,0.06926406652888988,unconstrained,weakly constrained,well constrained,155,14.7
SCTXSUS1-16,DM,Mean Age,2,28.1346,28.133533477783203,-0.0037907850717473065,2.94965762723958,2.646924563054926,0.10959151796996583,False,0.17804880165494968,False,1,2.94965762723958,unconstrained,well constrained,well constrained,136,14.7
SCTXSUS1-22,DM,Mean Age,2,21.0556,21.055620193481445,9.590551419572496e-05,3.036165262046307e-11,2.9000000000000004,0.8755757998209434,False,7.518660276967926e-06,False,1,3.036165262046307e-11,unconstrained,weakly constrained,well constrained,149,17.1
SCTXSUS1-15/EDTRVFPS1-01,DM,"Mean Age, Model Parm 1",4,4.4933,4.493258476257324,-0.00092412575780404,153.0298651170916,1.4570765642449257,0.1600956845562907,False,1.2854173029772948,False,2,76.5149325585458,weakly constrained,well constrained,weakly constrained,159,22.8
SCTXSUS1-21/EDTRVFPS1-05,DM,"Mean Age, Model Parm 1",4,31.9249,31.92483139038086,-0.00021490942537507902,2.934159012615619,0.3711365844588724,0.041148971393704326,False,0.04976975475437953,False,2,1.4670795063078095,well constrained,well constrained,well constrained,132,21.7
