SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,marginalised,56.234132519034915,4.314956258893374e-23,1801.9537353515625
EDTRPAS1-41,marginalised,57.5992285351363,5.428591804617901e-23,1791.2916259765625
EDTRPAS1-41,marginalised,58.997462559235615,7.313714687361376e-23,1777.8260498046875
EDTRPAS1-41,marginalised,60.42963902381327,1.0398752256464775e-22,1762.36474609375
EDTRPAS1-41,marginalised,61.89658188912606,1.5437400631359666e-22,1745.7952880859375
EDTRPAS1-41,marginalised,63.39913511724846,2.439403407181502e-22,1728.9881591796875
EDTRPAS1-41,marginalised,64.93816315762116,4.2073759090326427e-22,1712.712646484375
EDTRPAS1-41,marginalised,66.51455144438633,8.097052030020716e-22,1697.5872802734375
EDTRPAS1-41,marginalised,68.12920690579612,1.817700446140794e-21,1684.04443359375
EDTRPAS1-41,marginalised,69.78305848598664,6.128613262780896e-21,1672.330322265625
EDTRPAS1-41,marginalised,71.47705767941858,2.036888349460269e-14,1033.9449462890625
EDTRPAS1-41,marginalised,73.21217907829133,0.00018831781904151944,69.55638885498047
EDTRPAS1-41,marginalised,74.98942093324557,0.002542598257083656,16.098405838012695
EDTRPAS1-41,marginalised,76.80980572767753,0.007643491696810371,6.942543983459473
EDTRPAS1-41,marginalised,78.67438076599402,0.011615112079147961,4.877880573272705
EDTRPAS1-41,marginalised,80.58421877614815,0.012354643267077288,4.3991169929504395
EDTRPAS1-41,marginalised,82.5404185268019,0.011687810814879237,4.286167144775391
EDTRPAS1-41,marginalised,84.54410545946924,0.010861555554494744,4.40794563293457
EDTRPAS1-41,marginalised,86.59643233600654,0.010223219603670784,4.5387492179870605
EDTRPAS1-41,marginalised,88.6985799018192,0.00977919927127982,4.652053356170654
EDTRPAS1-41,marginalised,90.85175756516864,0.00949658074900517,4.610077857971191
EDTRPAS1-41,marginalised,93.05720409296997,0.00935482367954616,4.7327775955200195
EDTRPAS1-41,marginalised,95.31618832347876,0.009274505809271673,4.639554977416992
EDTRPAS1-41,marginalised,97.63000989628077,0.009227652906732468,4.630043029785156
EDTRPAS1-41,marginalised,100.00000000000004,0.009202700987497614,4.650065898895264
EDTRPAS1-41,marginalised,102.4275221381592,0.009191741115145004,4.679349422454834
EDTRPAS1-41,marginalised,104.91397291363097,0.009189061315774173,4.710818290710449
EDTRPAS1-41,marginalised,107.46078283213177,0.009190845177874442,4.742212772369385
EDTRPAS1-41,marginalised,110.0694171252209,0.009194770442322026,4.772852420806885
EDTRPAS1-41,marginalised,112.74137659327857,0.00919946608003895,4.774705410003662
EDTRPAS1-41,marginalised,115.4781984689458,0.009204217734997164,4.741421222686768
EDTRPAS1-41,marginalised,118.28145730152693,0.009208622411261363,4.714141845703125
EDTRPAS1-41,marginalised,121.15276586285887,0.009212559461745049,4.691686630249023
EDTRPAS1-41,marginalised,124.0937760751719,0.009215983169738469,4.673177242279053
EDTRPAS1-41,marginalised,127.10617996147457,0.00921888131921501,4.657902240753174
EDTRPAS1-41,marginalised,130.19171061900778,0.00922135023705482,4.64528226852417
EDTRPAS1-41,marginalised,133.35214321633242,0.009223386677588735,4.634850025177002
EDTRPAS1-41,marginalised,136.58929601461872,0.009225072387009703,4.626223564147949
EDTRPAS1-41,marginalised,139.90503141372932,0.00922646769351497,4.619083404541016
EDTRPAS1-41,marginalised,143.30125702369637,0.00922762564624875,4.613162517547607
EDTRPAS1-41,marginalised,146.77992676220697,0.00922859521183507,4.608251094818115
EDTRPAS1-41,marginalised,150.34304197873345,0.00922940504325938,4.60417366027832
EDTRPAS1-41,marginalised,153.99265260594927,0.009230086113471252,4.60078763961792
EDTRPAS1-41,marginalised,157.7308583390972,0.009230634370972369,4.5979814529418945
EDTRPAS1-41,marginalised,161.55980984398738,0.009231078657756995,4.595658302307129
EDTRPAS1-41,marginalised,165.48170999431815,0.009231375539143816,4.593751907348633
EDTRPAS1-41,marginalised,169.49881513903458,0.009231518362927583,4.592207431793213
EDTRPAS1-41,marginalised,173.6134364004524,0.00923147834836322,4.590978622436523
EDTRPAS1-41,marginalised,177.82794100389225,0.00923124839995674,4.590029239654541
EDTRPAS1-41,marginalised,182.14475363959448,0.009230792701089325,4.58933162689209
EDTRPAS1-41,marginalised,186.56635785769126,0.009230111878559337,4.588855743408203
EDTRPAS1-41,marginalised,191.09529749704396,0.009229182209562028,4.588582515716553
EDTRPAS1-41,marginalised,195.73417814876615,0.009228050668845826,4.588476657867432
EDTRPAS1-41,marginalised,200.48566865527133,0.009226758413083888,4.58851432800293
EDTRPAS1-41,marginalised,205.35250264571462,0.009225350632400403,4.588658809661865
EDTRPAS1-41,marginalised,210.3374801087034,0.009223886580069904,4.588878631591797
EDTRPAS1-41,marginalised,215.44346900318828,0.009222458636461046,4.589136123657227
EDTRPAS1-41,marginalised,220.67340690845913,0.009221141470690742,4.589396953582764
