SampleID,sigma_model,tau2_was_free,n_active,dof,assessable,n_sigma_substituted,tau1_pinned,tau2_src,tau2_lo_b,tau2_hi_b,chi2_sigma_min,p_at_min,prior_window,scale_range,tau2_map,tau2_ci68_lo,tau2_ci68_hi,tau2_ci95_lo,tau2_ci95_hi,tau2_ci95_span,contraction_log_tau2,post_mass_lower_decile,post_mass_upper_decile,marginal_mode_at_bound,mean_age_ci95_lo,mean_age_ci95_hi,mean_age_ci95_span,seconds
EDTRPAS1-41,marginalised,False,4,2,True,0,29.2111,200.0,10.0,1000.0,4.339351177215576,0.114214663439331,bounds,10.0,82.8397908450661,109.84863439633621,648.9225241294666,78.87326766700043,933.8192013365531,11.8394892079164,0.4350879126381417,6.0416010147445215e-09,0.17164379652077438,False,46.920239669308465,294.400877686484,6.274496459553636,24.0
EDTRPAS1-35,marginalised,False,4,2,True,0,27.9778,1000.0,50.0,5000.0,2.835599899291992,0.2422463853094038,bounds,10.0,79.47451128432712,121.72304107551223,2369.5206530888554,77.9334900549918,4422.853107139899,56.75163660730483,0.07685347881177218,0.01656932526828463,0.09735982018894494,False,44.2570709520402,1178.562781338578,26.629931804925455,24.3
EDTRPAS1-29,marginalised,False,4,2,True,0,42.028,11500.0,575.0,57500.0,2.18202543258667,0.33587617413814047,bounds,10.0,13909.632102301166,11789.491396344956,16491.489986503973,9092.849839560336,26256.607718489744,2.887610395176098,0.7576112649626501,0.0002304120156989618,0.01163549105731011,False,7788.548527196539,24791.40270279708,3.1830581290248006,24.8
EDTRPAS1-46,marginalised,False,3,1,False,0,35.188,23500.0,1175.0,117500.0,0.6302049160003662,0.42728015933695707,bounds,10.0,25314.607607874623,22683.262584821005,55138.09257817295,16599.18928013691,104253.97263388993,6.280666535843614,0.5799969812145688,0.0001994363995173028,0.0971733270206034,False,12534.374700961065,82983.44783352522,6.620469693407403,19.9
EDTRPAS1-30,marginalised,False,4,2,True,0,30.1719,3000.0,150.0,15000.0,9.041194915771484,0.010882519878559404,bounds,10.0,4074.3048715133536,337.39693753906477,6760.711471295322,166.27607505994553,12969.82216518017,78.0017339265695,0.004155654276458698,0.0880644818414577,0.08609242696179976,False,83.29372325815402,5076.676248831193,60.94908536021306,24.6
EDTRPAS1-34,marginalised,False,4,2,True,0,30.3118,3000.0,150.0,15000.0,0.1475161761045456,0.9288963777953142,bounds,10.0,759.4405366923511,253.42084903594787,1246.4953484846953,161.53604020125667,2589.0980623679548,16.027990157132827,0.3658531226008538,0.13121749292366197,0.0007960896706669847,False,75.60497357963668,959.1868189447299,12.686821693474881,24.4
EDTRPAS1-43,marginalised,False,4,2,True,0,32.1157,1000.0,50.0,5000.0,3.18027663230896,0.20389740747839546,bounds,10.0,1663.345941817268,157.1383994495369,2532.477780334121,85.71550686059336,4443.8212405091135,51.84384253524265,0.09752779848926396,0.004602030406098166,0.1054633255045205,False,52.70527154598366,1566.4005363361894,29.719997457361643,24.3
EDTRPAS1-04/EDTRETN1-01,marginalised,False,4,2,True,0,35.0,5000.0,250.0,25000.0,40.41642379760742,1.673728777184491e-09,bounds,10.0,1127.270284731395,495.3001787305704,10781.052329718696,271.490544142784,21785.78533204677,80.24509804138538,-0.0023255326304132407,0.10399725670385518,0.0859619240631534,False,118.50960488789275,7729.821821619003,65.22527713202005,24.5
EDTRPAS1-05/EDTRETN1-03,marginalised,False,3,1,False,0,28.2125,14500.0,725.0,72500.0,0.14410406351089478,0.7042346321043673,bounds,10.0,5196.176787933566,3012.1516205817757,6631.963085898078,1112.6984948855666,20044.93734648625,18.014706983626986,0.33914357760864133,0.025388919506081332,0.007913638127903043,False,434.51006678061435,8908.550763786856,20.50251868683359,20.3
EDTRPAS1-44,marginalised,False,4,2,True,0,18.6068,200.0,10.0,1000.0,0.2145988941192627,0.8982566524002479,bounds,10.0,95.74852126495767,121.47407427288631,504.19025793658,89.82385011159232,851.6895772620785,9.481775455004268,0.48584754407725805,1.36451826419635e-14,0.09092092556082612,False,45.68199931491323,327.48006547612323,7.16868942662969,23.9
