SampleID,q_baseline,q_perturbed,delta_q,tau2_baseline,tau2_perturbed,tau2_shift_pct,mean_age_baseline,mean_age_perturbed,mean_age_shift_pct,chi2,seconds
EDTRPAS1-41,0.65,0.55,-0.09999999999999998,200.0,200.0,0.0,54.19751606999999,52.93881187115767,-2.3224389051642453,0.18590223789215088,24.4
EDTRPAS1-41,0.65,0.75,0.09999999999999998,200.0,200.0,0.0,54.19751606999999,55.93608274495364,3.2078346039109276,0.1891470104455948,23.4
EDTRPAS1-35,0.65,0.55,-0.09999999999999998,1000.0,1000.0,0.0,137.71910638,122.72335910206266,-10.888646951106756,0.18528693914413452,24.0
EDTRPAS1-35,0.65,0.75,0.09999999999999998,1000.0,1000.0,0.0,137.71910638,158.8692421565038,15.357444825517165,0.20622579753398895,23.9
EDTRPAS1-29,0.65,0.55,-0.09999999999999998,11500.0,11500.0,0.0,9935.986822,9043.495556769441,-8.982411925652201,0.9104776382446289,23.9
EDTRPAS1-29,0.65,0.75,0.09999999999999998,11500.0,11500.0,0.0,9935.986822,10520.416209463003,5.881946080775529,0.998630702495575,23.8
EDTRPAS1-46,0.4,0.5,0.09999999999999998,23500.0,23500.0,0.0,18307.237104399996,18791.586696195314,2.6456727961365027,0.05978347361087799,20.2
EDTRPAS1-30,0.65,0.55,-0.09999999999999998,3000.0,3000.0,0.0,798.7634122800001,741.3706987181313,-7.185195601041161,0.32189860939979553,24.1
EDTRPAS1-30,0.65,0.75,0.09999999999999998,3000.0,3000.0,0.0,798.7634122800001,873.8988780103108,9.40647312773667,0.3802759051322937,24.2
EDTRPAS1-34,0.65,0.55,-0.09999999999999998,3000.0,3000.0,0.0,1024.26644054,993.3159294072289,-3.021724612636328,0.0417947843670845,24.0
EDTRPAS1-34,0.65,0.75,0.09999999999999998,3000.0,3000.0,0.0,1024.26644054,1066.6328326138319,4.1362667365627965,0.0060484022833406925,24.0
EDTRPAS1-43,0.65,0.55,-0.09999999999999998,1000.0,1000.0,0.0,258.50383777,247.89739407199113,-4.103012082724209,0.11060400307178497,24.1
EDTRPAS1-43,0.65,0.75,0.09999999999999998,1000.0,1000.0,0.0,258.50383777,272.5028182510837,5.415385938501636,0.14718136191368103,23.9
EDTRPAS1-04/EDTRETN1-01,0.65,0.55,-0.09999999999999998,5000.0,5000.0,0.0,1947.0215,1870.8730819821358,-3.9110209115751564,1.064850091934204,19.9
EDTRPAS1-04/EDTRETN1-01,0.65,0.75,0.09999999999999998,5000.0,5000.0,0.0,1947.0215,2049.512529671192,5.263990647827573,1.0040390491485596,19.9
EDTRPAS1-05/EDTRETN1-03,0.6,0.5,-0.09999999999999998,14500.0,14500.0,0.0,5057.15865625,4663.816905481894,-7.777919925094422,0.0649375170469284,20.9
