SampleID,sigma_model,tau2_was_free,n_active,dof,assessable,n_sigma_substituted,tau1_pinned,tau2_src,tau2_lo_b,tau2_hi_b,chi2_sigma_min,p_at_min,scale_range,tau2_map,tau2_ci68_lo,tau2_ci68_hi,tau2_ci95_lo,tau2_ci95_hi,tau2_ci95_span,contraction_log_tau2,post_mass_lower_decile,post_mass_upper_decile,marginal_mode_at_bound,mean_age_ci95_lo,mean_age_ci95_hi,mean_age_ci95_span,seconds
EDTRPAS1-41,marginalised,False,4,2,True,0,29.2111,200.0,10.0,1000.0,4.286167144775391,0.11729260457781658,5.0,82.5404185268019,110.00666083891899,649.0517382493474,79.13554231540049,933.8396626960783,11.800508790022468,0.4358417196187392,8.482248867349323e-20,0.17786314545815834,False,46.88312059767022,294.5651041951072,6.282967098605316,29.2
EDTRPAS1-35,marginalised,False,4,2,True,0,27.9778,1000.0,50.0,5000.0,2.8781869411468506,0.23714263804985894,5.0,78.86542916954859,121.66381265378946,2367.259871036339,78.06342571407998,4421.407865817989,56.63866049143315,0.07730896120731034,0.03452172486673265,0.10072927024575547,False,44.176582734927244,1185.9812348649914,26.846377909790686,30.4
EDTRPAS1-29,marginalised,False,4,2,True,0,42.028,11500.0,575.0,57500.0,0.9984123706817627,0.6070123237922287,5.0,13635.398807554511,12369.020029714578,15306.752661158467,10516.043084397881,19204.91083603854,1.826248778357697,0.8623368745118242,4.609194175718708e-06,0.003411310073262308,False,9062.952809346714,17019.165278808094,1.8778830296077518,30.7
EDTRPAS1-46,marginalised,False,3,1,False,0,35.188,23500.0,1175.0,117500.0,1.85026216506958,0.17375290608978505,5.0,26558.560568917557,22259.22221494971,71490.87963416977,15626.464389710709,108694.75355634729,6.955812322326583,0.5566590233641044,5.221888581900793e-06,0.15443641330002755,False,12392.6950557004,85069.9734826633,6.864525682291582,24.8
EDTRPAS1-30,marginalised,False,4,2,True,0,30.1719,3000.0,150.0,15000.0,9.204105377197266,0.010031223618381003,5.0,3915.235823523805,340.7322559034804,6753.332446640607,167.24481922187942,12950.95149336594,77.43708626444352,0.005816314025544722,0.09063192523367689,0.08896450078889856,False,83.7912510562897,5049.996177213142,60.26877643610585,31.6
EDTRPAS1-34,marginalised,False,4,2,True,0,30.3118,3000.0,150.0,15000.0,0.05955458804965019,0.9706616816352531,5.0,748.1831544673655,233.40632602842985,1271.838726156108,156.82291061567673,2566.8455478756214,16.367796885023683,0.3610577752337012,0.16462163311503367,0.00073278415943624,False,74.0172074247892,959.7395717836732,12.966438550912494,31.6
EDTRPAS1-43,marginalised,False,4,2,True,0,32.1157,1000.0,50.0,5000.0,3.0518739223480225,0.2174172498788296,5.0,1658.8355639214296,158.48137818445042,2534.2960905374166,86.20177989512673,4442.4521598223055,51.53550385185784,0.09889130188988193,0.007311021232627513,0.10947761656521532,False,52.75815318333939,1564.3105278380829,29.650593006960673,30.7
EDTRPAS1-04/EDTRETN1-01,marginalised,False,4,2,True,0,35.0,5000.0,250.0,25000.0,40.21532440185547,1.8507734559574663e-09,5.0,1132.895909400204,493.4772124291852,10457.618211729783,272.4816924924876,21622.50534773096,79.3539747567705,0.0002270079013050319,0.10897160154570637,0.08504705327938239,False,118.83718267442042,7632.312674390124,64.22495470378541,30.7
EDTRPAS1-05/EDTRETN1-03,marginalised,False,3,1,False,0,28.2125,14500.0,725.0,72500.0,0.0298088900744915,0.8629245726423568,5.0,5182.086681757842,2942.2062377972934,6822.80326399296,1074.1635838711402,21888.722430619444,20.377457176248193,0.3109736899318445,0.029417321698230442,0.008989892874377677,False,478.1334702425439,6892.758624059349,14.415971800850592,24.4
EDTRPAS1-44,marginalised,False,4,2,True,0,18.6068,200.0,10.0,1000.0,0.21404677629470825,0.8985046583852115,5.0,100.00000000000004,104.46349669625643,527.6996207485828,88.344402135757,874.0411003319464,9.893565174495444,0.47613009523179173,3.497812615e-315,0.10921915965153599,False,45.69406380214603,333.48093264930924,7.298123758334824,42.8
SCTXSUS1-13/EDTRVFPS1-08,marginalised,True,4,2,True,0,28.0,1856.421578,92.8210789,9282.10789,24.73611831665039,4.252263373462153e-06,5.0,8637.67008332697,212.0373667086288,5039.606385227761,102.68989399305245,8435.689875404472,82.14722547065044,-0.007680473519295461,0.09107292631667982,0.1259387213082212,False,49.78326958894602,3576.491347185324,71.84123053218376,46.9
SCTXSUS1-14/EDTRVFPS1-07,marginalised,True,4,2,True,0,8.0,501.0161887,25.050809435,2505.0809435,17.8381290435791,0.00013381336574623458,5.0,183.40243464113698,153.5548919418852,1378.9604028252077,99.6925895010589,2269.128742220463,22.761257918737893,0.2856861789416688,0.00039367064356664165,0.1269662525571101,False,58.6901589653909,1340.950087626514,22.84795460201873,45.9
SCTXSUS1-10/EDTRVFPS1-15,marginalised,True,4,2,True,0,14.0,78.4246457,3.9212322850000003,392.1232285,4.381270885467529,0.11184565452313845,5.0,80.52348631799244,78.79510395568175,180.49920792526288,76.76176518286726,347.35172890937594,4.525061768471455,0.6549344674559758,2.196931233539114e-12,0.09892019305771685,False,53.05206565049865,252.53792616102618,4.7601902595974135,32.2
